time,accSmooth[0],accSmooth[1],accSmooth[2],gyroADC[0],gyroADC[1],gyroADC[2]
0.228,8.888787065,4.248532499,-2.228047748,46.61055042,-199.9707387,11.15477167
0.229,8.884028508,4.240562465,-2.256336902,47.13120503,-199.8532767,13.72512236
0.23,8.879219088,4.232496342,-2.284557416,47.65340256,-199.6987343,16.29350501
0.231,8.874359288,4.22433453,-2.312708549,48.17706276,-199.5071612,18.85941126
0.232,8.869449596,4.216077432,-2.340789566,48.70210347,-199.2786146,21.42233464
0.233,8.864490503,4.207725454,-2.368799737,49.22844062,-199.0131598,23.98177071
0.234,8.859482503,4.199279007,-2.396738339,49.75598822,-198.7108699,26.53721716
0.235,8.854426097,4.190738503,-2.424604657,50.28465844,-198.3718256,29.08817397
0.236,8.849321787,4.18210436,-2.45239798,50.81436163,-197.9961156,31.63414348
0.237,8.844170082,4.173376997,-2.480117604,51.34500632,-197.5838359,34.17463055
0.238,8.838971493,4.164556836,-2.507762833,51.87649928,-197.1350903,36.70914265
0.239,8.833726534,4.155644304,-2.535332974,52.40874557,-196.6499901,39.23718997
0.24,8.828435724,4.146639829,-2.562827344,52.9416485,-196.128654,41.75828558
0.241,8.823099587,4.137543843,-2.590245264,53.47510975,-195.5712082,44.27194547
0.242,8.817718647,4.128356781,-2.617586063,54.00902933,-194.9777862,46.77768873
0.243,8.812293435,4.119079079,-2.644849076,54.54330569,-194.3485287,49.27503759
0.244,8.806824483,4.109711179,-2.672033645,55.07783568,-193.6835837,51.76351761
0.245,8.801312327,4.100253522,-2.699139117,55.61251464,-192.9831063,54.24265768
0.246,8.795757508,4.090706555,-2.726164849,56.14723639,-192.2472587,56.71199021
0.247,8.790160568,4.081070724,-2.7531102,56.68189332,-191.47621,59.17105119
0.248,8.784522053,4.071346481,-2.77997454,57.21637639,-190.6701363,61.61938029
0.249,8.778842512,4.061534277,-2.806757242,57.75057517,-189.8292204,64.05652098
0.25,8.773122497,4.051634569,-2.833457689,58.28437791,-188.9536522,66.48202059
0.251,8.767362563,4.041647813,-2.860075269,58.81767153,-188.0436279,68.89543041
0.252,8.761563266,4.031574469,-2.886609376,59.35034171,-187.0993504,71.29630583
0.253,8.755725169,4.021414999,-2.913059413,59.88227288,-186.1210293,73.68420634
0.254,8.749848834,4.011169866,-2.939424787,60.4133483,-185.1088804,76.05869571
0.255,8.743934826,4.000839536,-2.965704914,60.94345008,-184.063126,78.419342
0.256,8.737983714,3.990424478,-2.991899216,61.47245924,-182.9839946,80.76571768
0.257,8.731996069,3.97992516,-3.018007121,62.00025572,-181.8717209,83.09739972
0.258,8.725972463,3.969342054,-3.044028065,62.52671846,-180.7265458,85.41396963
0.259,8.719913472,3.958675634,-3.06996149,63.05172542,-179.548716,87.71501358
0.26,8.713819674,3.947926374,-3.095806846,63.5751536,-178.3384842,90.00012242
0.261,8.707691648,3.937094751,-3.121563588,64.09687914,-177.0961089,92.26889183
0.262,8.701529977,3.926181243,-3.147231179,64.61677731,-175.8218545,94.5209223
0.263,8.695335243,3.91518633,-3.172809088,65.13472259,-174.5159908,96.75581928
0.264,8.689108034,3.904110492,-3.198296792,65.65058868,-173.1787933,98.97319319
0.265,8.682848936,3.892954214,-3.223693773,66.16424859,-171.8105428,101.1726595
0.266,8.676558538,3.881717977,-3.248999523,66.67557461,-170.4115257,103.3538388
0.267,8.670237433,3.870402268,-3.274213537,67.18443845,-168.9820334,105.5163569
0.268,8.663886213,3.859007572,-3.299335318,67.6907112,-167.5223626,107.6598447
0.269,8.657505471,3.847534378,-3.324364378,68.19426341,-166.0328151,109.7839386
0.27,8.651095805,3.835983173,-3.349300233,68.69496515,-164.5136976,111.8882802
0.271,8.644657811,3.824354448,-3.374142408,69.19268601,-162.9653216,113.9725165
0.272,8.638192088,3.812648692,-3.398890431,69.68729521,-161.3880036,116.0362999
0.273,8.631699236,3.800866397,-3.423543842,70.17866157,-159.7820646,118.0792884
0.274,8.625179856,3.789008055,-3.448102184,70.66665359,-158.1478301,120.1011454
0.275,8.61863455,3.77707416,-3.472565007,71.15113953,-156.4856303,122.1015401
0.276,8.612063922,3.765065205,-3.49693187,71.63198739,-154.7957997,124.0801471
0.277,8.605468575,3.752981684,-3.521202337,72.10906499,-153.0786769,126.0366467
0.278,8.598849116,3.740824093,-3.545375977,72.58224001,-151.3346049,127.970725
0.279,8.59220615,3.728592927,-3.56945237,73.05138004,-149.5639307,129.8820736
0.28,8.585540284,3.716288682,-3.593431098,73.51635261,-147.7670052,131.77039
0.281,8.578852125,3.703911855,-3.617311754,73.97702524,-145.9441833,133.6353776
0.282,8.572142283,3.691462942,-3.641093933,74.43326549,-144.0958236,135.4767454
0.283,8.565411365,3.67894244,-3.664777241,74.884941,-142.2222884,137.2942084
0.284,8.558659981,3.666350848,-3.688361288,75.33191955,-140.3239435,139.0874874
0.285,8.551888742,3.653688662,-3.71184569,75.77406906,-138.4011583,140.8563091
0.286,8.545098256,3.640956381,-3.735230072,76.21125769,-136.4543054,142.600406
0.287,8.538289135,3.628154502,-3.758514063,76.64335382,-134.4837607,144.3195168
0.288,8.53146199,3.615283523,-3.7816973,77.07022617,-132.4899035,146.0133859
0.289,8.524617431,3.602343942,-3.804779426,77.49174377,-130.4731159,147.6817638
0.29,8.51775607,3.589336258,-3.82776009,77.90777605,-128.433783,149.3244068
0.291,8.510878517,3.576260967,-3.850638948,78.31819287,-126.3722929,150.9410773
0.292,8.503985384,3.563118567,-3.873415662,78.72286454,-124.2890363,152.5315438
0.293,8.497077281,3.549909556,-3.896089901,79.12166189,-122.1844067,154.0955806
0.294,8.49015482,3.536634431,-3.918661339,79.51445632,-120.0588002,155.6329682
0.295,8.483218612,3.523293689,-3.941129656,79.9011198,-117.9126151,157.1434928
0.296,8.476269267,3.509887825,-3.963494541,80.28152496,-115.7462524,158.626947
0.297,8.469307394,3.496417336,-3.985755687,80.65554506,-113.5601152,160.0831292
0.298,8.462333605,3.482882718,-4.007912792,81.02305414,-111.3546088,161.5118437
0.299,8.455348507,3.469284465,-4.029965563,81.38392694,-109.1301405,162.912901
0.3,8.44835271,3.455623072,-4.051913711,81.73803902,-106.8871198,164.2861176
0.301,8.441346823,3.441899033,-4.073756953,82.08526679,-104.6259578,165.6313159
0.302,8.434331453,3.42811284,-4.095495015,82.4254875,-102.3470676,166.9483243
0.303,8.427307206,3.414264987,-4.117127624,82.75857933,-100.050864,168.2369773
0.304,8.42027469,3.400355964,-4.138654518,83.08442141,-97.7377632,169.4971151
0.305,8.413234509,3.386386264,-4.160075436,83.40289387,-95.40818312,170.7285841
0.306,8.406187269,3.372356375,-4.181390127,83.71387783,-93.06254297,171.9312365
0.307,8.399133573,3.358266788,-4.202598343,84.01725551,-90.70126334,173.1049306
0.308,8.392074023,3.34411799,-4.223699845,84.3129102,-88.32476601,174.2495304
0.309,8.385009223,3.329910469,-4.244694395,84.60072633,-85.93347393,175.3649059
0.31,8.377939771,3.315644711,-4.265581764,84.88058952,-83.52781108,176.4509329
0.311,8.370866269,3.301321201,-4.286361728,85.15238655,-81.10820241,177.5074931
0.312,8.363789314,3.286940423,-4.307034069,85.41600549,-78.67507372,178.5344741
0.313,8.356709503,3.272502861,-4.327598574,85.67133563,-76.22885163,179.5317691
0.314,8.349627433,3.258008997,-4.348055035,85.9182676,-73.76996343,180.4992772
0.315,8.342543699,3.24345931,-4.368403249,86.15669336,-71.29883701,181.4369033
0.316,8.335458893,3.22885428,-4.388643022,86.38650623,-68.81590081,182.3445579
0.317,8.328373607,3.214194386,-4.40877416,86.60760093,-66.3215837,183.2221573
0.318,8.321288432,3.199480104,-4.428796478,86.81987363,-63.81631489,184.0696233
0.319,8.314203957,3.18471191,-4.448709796,87.02322195,-61.30052391,184.8868836
0.32,8.307120769,3.169890277,-4.468513937,87.21754501,-58.77464042,185.6738712
0.321,8.300039453,3.155015679,-4.488208732,87.40274344,-56.23909424,186.4305248
0.322,8.292960594,3.140088587,-4.507794015,87.57871942,-53.6943152,187.1567887
0.323,8.285884774,3.125109469,-4.527269625,87.74537674,-51.14073309,187.8526126
0.324,8.278812574,3.110078795,-4.546635409,87.90262076,-48.57877756,188.5179516
0.325,8.271744573,3.09499703,-4.565891215,88.0503585,-46.00887809,189.1527665
0.326,8.264681346,3.079864641,-4.585036899,88.18849862,-43.43146384,189.7570231
0.327,8.257623471,3.064682089,-4.604072319,88.31695149,-40.84696366,190.3306929
0.328,8.250571519,3.049449838,-4.622997341,88.43562918,-38.25580593,190.8737524
0.329,8.243526062,3.034168346,-4.641811832,88.5444455,-35.65841856,191.3861835
